Causas (lista reducida);Sexo;Edad;Lugar de residencia;Total
001-008 I.Enfermedades infecciosas y parasitarias;Hombres;Menores de 1 año;Mismo municipio;5
001-008 I.Enfermedades infecciosas y parasitarias;Hombres;Menores de 1 año;Otro municipio de la misma provincia;2
001-008 I.Enfermedades infecciosas y parasitarias;Hombres;Menores de 1 año;Otra provincia de la misma Comunidad Autónoma;0
001-008 I.Enfermedades infecciosas y parasitarias;Hombres;Menores de 1 año;Otra Comunidad Autónoma;0
001-008 I.Enfermedades infecciosas y parasitarias;Hombres;Menores de 1 año;Extranjero;0
001-008 I.Enfermedades infecciosas y parasitarias;Hombres;De 1 a 4 años;Mismo municipio;4
001-008 I.Enfermedades infecciosas y parasitarias;Hombres;De 1 a 4 años;Otro municipio de la misma provincia;2
001-008 I.Enfermedades infecciosas y parasitarias;Hombres;De 1 a 4 años;Otra provincia de la misma Comunidad Autónoma;2
001-008 I.Enfermedades infecciosas y parasitarias;Hombres;De 1 a 4 años;Otra Comunidad Autónoma;3
001-008 I.Enfermedades infecciosas y parasitarias;Hombres;De 1 a 4 años;Extranjero;0
001-008 I.Enfermedades infecciosas y parasitarias;Hombres;De 5 a 9 años;Mismo municipio;1
001-008 I.Enfermedades infecciosas y parasitarias;Hombres;De 5 a 9 años;Otro municipio de la misma provincia;1
001-008 I.Enfermedades infecciosas y parasitarias;Hombres;De 5 a 9 años;Otra provincia de la misma Comunidad Autónoma;0
001-008 I.Enfermedades infecciosas y parasitarias;Hombres;De 5 a 9 años;Otra Comunidad Autónoma;0
001-008 I.Enfermedades infecciosas y parasitarias;Hombres;De 5 a 9 años;Extranjero;0
001-008 I.Enfermedades infecciosas y parasitarias;Hombres;De 10 a 14 años;Mismo municipio;1
001-008 I.Enfermedades infecciosas y parasitarias;Hombres;De 10 a 14 años;Otro municipio de la misma provincia;0
001-008 I.Enfermedades infecciosas y parasitarias;Hombres;De 10 a 14 años;Otra provincia de la misma Comunidad Autónoma;0
001-008 I.Enfermedades infecciosas y parasitarias;Hombres;De 10 a 14 años;Otra Comunidad Autónoma;0
001-008 I.Enfermedades infecciosas y parasitarias;Hombres;De 10 a 14 años;Extranjero;0
001-008 I.Enfermedades infecciosas y parasitarias;Hombres;De 15 a 19 años;Mismo municipio;3
001-008 I.Enfermedades infecciosas y parasitarias;Hombres;De 15 a 19 años;Otro municipio de la misma provincia;0
001-008 I.Enfermedades infecciosas y parasitarias;Hombres;De 15 a 19 años;Otra provincia de la misma Comunidad Autónoma;0
001-008 I.Enfermedades infecciosas y parasitarias;Hombres;De 15 a 19 años;Otra Comunidad Autónoma;1
001-008 I.Enfermedades infecciosas y parasitarias;Hombres;De 15 a 19 años;Extranjero;1
001-008 I.Enfermedades infecciosas y parasitarias;Hombres;De 20 a 24 años;Mismo municipio;2
001-008 I.Enfermedades infecciosas y parasitarias;Hombres;De 20 a 24 años;Otro municipio de la misma provincia;2
001-008 I.Enfermedades infecciosas y parasitarias;Hombres;De 20 a 24 años;Otra provincia de la misma Comunidad Autónoma;0
001-008 I.Enfermedades infecciosas y parasitarias;Hombres;De 20 a 24 años;Otra Comunidad Autónoma;0
001-008 I.Enfermedades infecciosas y parasitarias;Hombres;De 20 a 24 años;Extranjero;0
001-008 I.Enfermedades infecciosas y parasitarias;Hombres;De 25 a 29 años;Mismo municipio;3
001-008 I.Enfermedades infecciosas y parasitarias;Hombres;De 25 a 29 años;Otro municipio de la misma provincia;7
001-008 I.Enfermedades infecciosas y parasitarias;Hombres;De 25 a 29 años;Otra provincia de la misma Comunidad Autónoma;0
001-008 I.Enfermedades infecciosas y parasitarias;Hombres;De 25 a 29 años;Otra Comunidad Autónoma;0
001-008 I.Enfermedades infecciosas y parasitarias;Hombres;De 25 a 29 años;Extranjero;1
001-008 I.Enfermedades infecciosas y parasitarias;Hombres;De 30 a 34 años;Mismo municipio;10
001-008 I.Enfermedades infecciosas y parasitarias;Hombres;De 30 a 34 años;Otro municipio de la misma provincia;13
001-008 I.Enfermedades infecciosas y parasitarias;Hombres;De 30 a 34 años;Otra provincia de la misma Comunidad Autónoma;0
001-008 I.Enfermedades infecciosas y parasitarias;Hombres;De 30 a 34 años;Otra Comunidad Autónoma;3
001-008 I.Enfermedades infecciosas y parasitarias;Hombres;De 30 a 34 años;Extranjero;1
001-008 I.Enfermedades infecciosas y parasitarias;Hombres;De 35 a 39 años;Mismo municipio;18
001-008 I.Enfermedades infecciosas y parasitarias;Hombres;De 35 a 39 años;Otro municipio de la misma provincia;18
001-008 I.Enfermedades infecciosas y parasitarias;Hombres;De 35 a 39 años;Otra provincia de la misma Comunidad Autónoma;0
001-008 I.Enfermedades infecciosas y parasitarias;Hombres;De 35 a 39 años;Otra Comunidad Autónoma;4
001-008 I.Enfermedades infecciosas y parasitarias;Hombres;De 35 a 39 años;Extranjero;1
001-008 I.Enfermedades infecciosas y parasitarias;Hombres;De 40 a 44 años;Mismo municipio;32
001-008 I.Enfermedades infecciosas y parasitarias;Hombres;De 40 a 44 años;Otro municipio de la misma provincia;31
