Comunidades y Ciudades Autónomas;Sexo;Características demográficas;Tipo de uso de TIC;Total
Total Nacional;Ambos sexos;Total Personas;Total Personas;35.238.288
Total Nacional;Ambos sexos;Total Personas;Personas que han utilizado el teléfono móvil en los últimos 3 meses;98,9
Total Nacional;Ambos sexos;Total Personas;Personas que han utilizado Internet en los últimos 3 meses;93,2
Total Nacional;Ambos sexos;Total Personas;Personas que han utilizado Internet al menos una vez por semana en los últimos 3 meses;91,3
Total Nacional;Ambos sexos;Total Personas;Personas que han utilizado Internet diariamente (al menos 5 días a la semana);83,1
Total Nacional;Ambos sexos;Total Personas;Personas que han comprado a través de Internet en los últimos 3 meses;53,8
Total Nacional;Ambos sexos;Edad: De 16 a 24 años;Total Personas;4.305.088
Total Nacional;Ambos sexos;Edad: De 16 a 24 años;Personas que han utilizado el teléfono móvil en los últimos 3 meses;99,7
Total Nacional;Ambos sexos;Edad: De 16 a 24 años;Personas que han utilizado Internet en los últimos 3 meses;99,8
Total Nacional;Ambos sexos;Edad: De 16 a 24 años;Personas que han utilizado Internet al menos una vez por semana en los últimos 3 meses;99,8
Total Nacional;Ambos sexos;Edad: De 16 a 24 años;Personas que han utilizado Internet diariamente (al menos 5 días a la semana);97,0
Total Nacional;Ambos sexos;Edad: De 16 a 24 años;Personas que han comprado a través de Internet en los últimos 3 meses;61,8
Total Nacional;Ambos sexos;Edad: De 25 a 34 años;Total Personas;5.248.721
Total Nacional;Ambos sexos;Edad: De 25 a 34 años;Personas que han utilizado el teléfono móvil en los últimos 3 meses;99,8
Total Nacional;Ambos sexos;Edad: De 25 a 34 años;Personas que han utilizado Internet en los últimos 3 meses;99,7
Total Nacional;Ambos sexos;Edad: De 25 a 34 años;Personas que han utilizado Internet al menos una vez por semana en los últimos 3 meses;99,4
Total Nacional;Ambos sexos;Edad: De 25 a 34 años;Personas que han utilizado Internet diariamente (al menos 5 días a la semana);97,0
Total Nacional;Ambos sexos;Edad: De 25 a 34 años;Personas que han comprado a través de Internet en los últimos 3 meses;73,2
Total Nacional;Ambos sexos;Edad: De 35 a 44 años;Total Personas;7.162.898
Total Nacional;Ambos sexos;Edad: De 35 a 44 años;Personas que han utilizado el teléfono móvil en los últimos 3 meses;99,7
Total Nacional;Ambos sexos;Edad: De 35 a 44 años;Personas que han utilizado Internet en los últimos 3 meses;99,0
Total Nacional;Ambos sexos;Edad: De 35 a 44 años;Personas que han utilizado Internet al menos una vez por semana en los últimos 3 meses;98,1
Total Nacional;Ambos sexos;Edad: De 35 a 44 años;Personas que han utilizado Internet diariamente (al menos 5 días a la semana);92,2
Total Nacional;Ambos sexos;Edad: De 35 a 44 años;Personas que han comprado a través de Internet en los últimos 3 meses;69,2
Total Nacional;Ambos sexos;Edad: De 45 a 54 años;Total Personas;7.557.196
Total Nacional;Ambos sexos;Edad: De 45 a 54 años;Personas que han utilizado el teléfono móvil en los últimos 3 meses;99,7
Total Nacional;Ambos sexos;Edad: De 45 a 54 años;Personas que han utilizado Internet en los últimos 3 meses;97,1
Total Nacional;Ambos sexos;Edad: De 45 a 54 años;Personas que han utilizado Internet al menos una vez por semana en los últimos 3 meses;95,4
Total Nacional;Ambos sexos;Edad: De 45 a 54 años;Personas que han utilizado Internet diariamente (al menos 5 días a la semana);85,4
Total Nacional;Ambos sexos;Edad: De 45 a 54 años;Personas que han comprado a través de Internet en los últimos 3 meses;55,6
Total Nacional;Ambos sexos;Edad: De 55 a 64 años;Total Personas;6.325.344
Total Nacional;Ambos sexos;Edad: De 55 a 64 años;Personas que han utilizado el teléfono móvil en los últimos 3 meses;99,0
Total Nacional;Ambos sexos;Edad: De 55 a 64 años;Personas que han utilizado Internet en los últimos 3 meses;89,5
Total Nacional;Ambos sexos;Edad: De 55 a 64 años;Personas que han utilizado Internet al menos una vez por semana en los últimos 3 meses;85,8
Total Nacional;Ambos sexos;Edad: De 55 a 64 años;Personas que han utilizado Internet diariamente (al menos 5 días a la semana);72,7
Total Nacional;Ambos sexos;Edad: De 55 a 64 años;Personas que han comprado a través de Internet en los últimos 3 meses;37,2
Total Nacional;Ambos sexos;Edad: De 65 a 74 años;Total Personas;4.639.041
Total Nacional;Ambos sexos;Edad: De 65 a 74 años;Personas que han utilizado el teléfono móvil en los últimos 3 meses;94,5
Total Nacional;Ambos sexos;Edad: De 65 a 74 años;Personas que han utilizado Internet en los últimos 3 meses;69,7
Total Nacional;Ambos sexos;Edad: De 65 a 74 años;Personas que han utilizado Internet al menos una vez por semana en los últimos 3 meses;64,3
Total Nacional;Ambos sexos;Edad: De 65 a 74 años;Personas que han utilizado Internet diariamente (al menos 5 días a la semana);50,7
Total Nacional;Ambos sexos;Edad: De 65 a 74 años;Personas que han comprado a través de Internet en los últimos 3 meses;20,5
